area_id,latitude,longitude,latitude,longitude,total_incidents,incidents_5yr,night_incidents,sexual_offences,harassment_count,assault_count,avg_severity,repeat_offender_cases,street_lighting,cctv_density,proximity_transit,population_density,slum_density,nightlife_density,incident_density,weighted_risk_score,trend_12month,risk_index,area_type_enc
CHN-00028,12.90225,80.27375,12.90225,80.27375,33,14,13,8,10,15,1.12,4,1.0,5.7,1130.0,33119.2,0.188,2.16,132,0.0616,0.0537,0.1991,2
CHN-00029,12.90225,80.27825,12.90225,80.27825,31,9,14,7,14,10,1.0,4,0.702,5.7,954.2,14820.6,0.234,1.2,124,0.0517,0.2265,0.2044,1
CHN-00030,12.90225,80.28275,12.90225,80.28275,53,22,30,6,25,22,1.9,10,0.695,5.07,865.6,42048.8,0.505,2.07,212,0.1678,-0.3051,0.3169,0
CHN-00031,12.90225,80.28725,12.90225,80.28725,28,12,17,6,11,11,1.0,2,0.641,7.28,1635.2,34079.4,0.331,2.02,112,0.0467,0.0977,0.2451,1
CHN-00032,12.90225,80.29175,12.90225,80.29175,45,14,28,8,15,22,1.69,6,0.563,4.18,1359.6,25023.2,0.462,2.94,180,0.1268,0.1874,0.3186,0
CHN-00033,12.90225,80.29625,12.90225,80.29625,42,13,17,8,17,17,1.18,3,0.611,5.08,733.6,23444.2,0.211,2.09,168,0.0826,0.1911,0.2493,1
CHN-00034,12.90225,80.30075,12.90225,80.30075,30,11,18,7,9,14,1.11,3,0.731,6.54,1961.1,18253.8,0.121,2.13,120,0.0555,-0.2215,0.2102,2
CHN-00035,12.90225,80.30525,12.90225,80.30525,9,2,5,1,3,5,1.0,1,0.99,6.73,425.0,3943.1,0.0,0.94,36,0.015,-0.2785,0.0973,2
CHN-00036,12.90225,80.30975,12.90225,80.30975,14,4,7,2,4,8,1.0,2,0.752,8.1,1845.7,4502.2,0.014,2.02,56,0.0233,0.0652,0.1518,2
CHN-00037,12.90225,80.31425,12.90225,80.31425,17,6,8,2,7,8,1.0,1,0.971,7.87,1047.8,17789.2,0.0,1.47,68,0.0283,-0.0575,0.1271,2
CHN-00038,12.90225,80.31875,12.90225,80.31875,19,6,8,2,6,11,1.0,2,0.937,7.5,1022.0,5657.5,0.146,1.85,76,0.0317,0.0742,0.1497,2
CHN-00039,12.90675,80.15225,12.90675,80.15225,25,9,13,3,12,10,1.0,2,0.64,5.7,529.6,8574.7,0.107,1.58,100,0.0417,-0.2558,0.2169,2
CHN-00040,12.90675,80.15675,12.90675,80.15675,49,21,20,7,24,18,1.82,8,0.539,4.43,1353.9,40448.0,0.381,2.96,196,0.1486,-0.1592,0.343,1
CHN-00041,12.90675,80.16125,12.90675,80.16125,40,15,18,4,16,20,1.07,5,0.542,5.41,1088.5,6007.3,0.27,1.87,160,0.0713,-0.2981,0.2683,2
CHN-00042,12.90675,80.16575,12.90675,80.16575,60,24,35,11,23,26,1.5,6,0.775,5.49,1931.8,9496.8,0.466,3.86,240,0.15,-0.212,0.3131,1
CHN-00043,12.90675,80.17025,12.90675,80.17025,15,4,8,1,4,10,1.0,2,0.993,7.46,749.7,25495.8,0.041,2.0,60,0.025,-0.1219,0.1212,1
CHN-00044,12.90675,80.17475,12.90675,80.17475,24,9,10,5,9,10,1.0,4,0.868,5.78,1882.7,22672.1,0.132,1.19,96,0.04,0.1128,0.1812,2
CHN-00045,12.90675,80.17925,12.90675,80.17925,46,14,21,6,20,20,1.0,6,0.838,6.62,717.1,32181.8,0.15,3.03,184,0.0767,-0.2701,0.2041,2
CHN-00046,12.90675,80.18375,12.90675,80.18375,21,8,12,4,9,8,1.0,1,0.749,5.85,1821.5,21534.6,0.159,1.87,84,0.035,0.2062,0.2102,1
CHN-00047,12.90675,80.18825,12.90675,80.18825,17,5,10,4,7,6,1.0,3,0.979,6.48,1173.8,19500.0,0.081,1.99,68,0.0283,0.1814,0.1436,1
CHN-00048,12.90675,80.19275,12.90675,80.19275,58,25,35,10,24,24,1.39,3,0.56,5.61,59.0,17485.5,0.343,2.94,232,0.1344,0.2267,0.3194,2
CHN-00049,12.90675,80.19725,12.90675,80.19725,29,9,14,3,9,17,1.0,3,0.995,6.36,1182.1,22453.6,0.025,2.18,116,0.0483,-0.2589,0.1498,2
CHN-00050,12.90675,80.20175,12.90675,80.20175,49,22,25,9,15,25,1.8,3,0.773,4.32,421.8,5889.7,0.378,3.06,196,0.147,-0.2833,0.3136,1
CHN-00051,12.90675,80.20625,12.90675,80.20625,44,15,23,5,14,25,1.65,8,0.628,4.97,1305.8,19215.9,0.179,1.92,176,0.121,0.0939,0.262,2
CHN-00052,12.90675,80.21075,12.90675,80.21075,33,13,13,3,15,15,1.0,4,0.615,4.95,524.2,29274.9,0.387,3.06,132,0.055,-0.1056,0.2887,2
CHN-00053,12.90675,80.21525,12.90675,80.21525,35,10,14,4,10,21,1.0,4,0.685,6.51,1644.0,15975.8,0.212,2.18,140,0.0583,0.0109,0.212,2
CHN-00054,12.90675,80.21975,12.90675,80.21975,21,7,9,5,9,7,1.0,3,0.851,7.64,1609.7,15538.4,0.001,1.26,84,0.035,-0.0463,0.143,1
CHN-00055,12.90675,80.22425,12.90675,80.22425,30,13,15,3,10,17,1.0,5,0.575,5.98,584.4,23103.7,0.317,3.02,120,0.05,-0.2218,0.283,2
CHN-00056,12.90675,80.22875,12.90675,80.22875,12,4,5,2,4,6,1.0,1,0.765,6.9,1489.2,4832.8,0.085,0.76,48,0.02,-0.1557,0.1593,2
CHN-00057,12.90675,80.23325,12.90675,80.23325,26,10,13,5,12,9,1.0,2,0.661,6.32,1210.4,4761.8,0.15,1.95,104,0.0433,-0.1692,0.2226,2
CHN-00058,12.90675,80.23775,12.90675,80.23775,32,11,18,5,11,16,1.6,5,0.758,4.99,1200.9,17416.1,0.197,3.43,128,0.0853,-0.2539,0.2537,2
CHN-00059,12.90675,80.24225,12.90675,80.24225,43,18,25,9,18,16,1.72,7,0.517,4.92,481.4,43639.4,0.516,1.99,172,0.1233,0.0999,0.3302,2
CHN-00060,12.90675,80.24675,12.90675,80.24675,51,15,29,7,24,20,1.97,9,0.616,5.73,1696.9,16917.1,0.473,1.94,204,0.1674,0.0325,0.2927,1
CHN-00061,12.90675,80.25125,12.90675,80.25125,13,4,7,1,4,8,1.0,2,0.797,7.21,1777.7,20626.2,0.05,0.7,52,0.0217,0.1482,0.1425,2
CHN-00062,12.90675,80.25575,12.90675,80.25575,10,3,5,1,4,5,1.0,1,0.91,7.38,1488.3,8776.9,0.0,1.0,40,0.0167,-0.2162,0.1198,0
CHN-00063,12.90675,80.26025,12.90675,80.26025,39,17,19,6,17,16,1.47,7,0.676,3.67,864.3,41837.4,0.572,3.13,156,0.0956,0.0558,0.3345,1
CHN-00064,12.90675,80.26475,12.90675,80.26475,56,21,25,7,19,30,1.29,9,0.54,3.91,1939.8,40298.3,0.528,3.99,224,0.1204,-0.2156,0.3568,4
CHN-00065,12.90675,80.26925,12.90675,80.26925,66,27,30,8,26,32,1.97,9,0.368,5.0,567.9,10491.1,0.585,4.26,264,0.2167,0.2111,0.4218,0
CHN-00066,12.90675,80.27375,12.90675,80.27375,77,27,37,10,34,33,2.37,4,0.295,3.62,198.5,47325.3,0.591,3.93,308,0.3042,0.074,0.4614,0
CHN-00067,12.90675,80.27825,12.90675,80.27825,81,27,50,17,34,30,2.74,14,0.486,3.89,1410.1,39074.5,0.633,4.49,324,0.3699,-0.1854,0.4618,1
CHN-00068,12.90675,80.28275,12.90675,80.28275,67,27,29,14,31,22,2.46,3,0.301,3.32,1963.3,37251.5,0.542,4.34,268,0.2747,0.0468,0.4646,4
CHN-00069,12.90675,80.28725,12.90675,80.28725,82,36,39,15,39,28,1.94,15,0.491,2.46,636.9,39962.9,0.454,4.08,328,0.2651,-0.0757,0.436,1
CHN-00070,12.90675,80.29175,12.90675,80.29175,29,8,11,4,11,14,1.34,4,0.711,5.41,1994.4,18552.4,0.253,1.66,116,0.0648,0.1303,0.2161,2
CHN-00071,12.90675,80.29625,12.90675,80.29625,29,11,13,7,9,13,1.1,5,0.675,5.93,825.3,13746.7,0.438,2.28,116,0.0532,0.195,0.2603,2
CHN-00072,12.90675,80.30075,12.90675,80.30075,19,7,12,2,9,8,1.0,3,1.0,7.48,1271.1,6876.1,0.0,2.49,76,0.0317,-0.0039,0.1456,2
CHN-00073,12.90675,80.30525,12.90675,80.30525,35,14,17,4,13,18,1.0,4,0.579,5.96,655.2,21121.6,0.182,1.79,140,0.0583,-0.0987,0.2477,2
CHN-00074,12.90675,80.30975,12.90675,80.30975,28,12,16,2,11,15,1.0,2,0.977,5.54,1022.8,23561.9,0.279,2.21,112,0.0467,-0.3505,0.2096,1
CHN-00075,12.90675,80.31425,12.90675,80.31425,16,4,6,2,5,9,1.0,2,0.956,6.09,376.6,6447.0,0.205,2.23,64,0.0267,-0.3482,0.1574,2
CHN-00076,12.90675,80.31875,12.90675,80.31875,51,21,29,11,18,22,1.83,3,0.78,5.07,1643.7,22252.8,0.421,2.94,204,0.1556,0.1145,0.3032,1
CHN-00077,12.91125,80.15225,12.91125,80.15225,11,4,5,2,4,5,1.0,1,0.985,7.37,1133.0,21617.8,0.0,2.39,44,0.0183,0.2006,0.1418,2
CHN-00078,12.91125,80.15675,12.91125,80.15675,42,12,19,7,19,16,1.34,6,0.693,5.47,773.5,38448.5,0.14,3.12,168,0.0938,0.0027,0.2399,2
CHN-00079,12.91125,80.16125,12.91125,80.16125,29,12,14,4,12,13,1.23,2,0.846,6.63,1479.6,7682.8,0.268,2.84,116,0.0594,-0.2515,0.2277,1
CHN-00080,12.91125,80.16575,12.91125,80.16575,21,9,10,3,7,11,1.0,1,0.823,7.87,553.4,21877.0,0.081,2.21,84,0.035,-0.2948,0.1855,0
CHN-00081,12.91125,80.17025,12.91125,80.17025,46,14,24,6,21,19,1.49,4,0.657,5.3,375.7,11156.1,0.25,3.42,184,0.1142,0.0762,0.2731,2
CHN-00082,12.91125,80.17475,12.91125,80.17475,36,15,16,4,12,20,1.0,4,0.959,5.35,288.1,18152.9,0.346,1.71,144,0.06,-0.0524,0.216,1
CHN-00083,12.91125,80.17925,12.91125,80.17925,14,5,7,2,6,6,1.0,0,0.859,7.89,443.6,19931.2,0.206,0.51,56,0.0233,0.0165,0.1497,2
CHN-00084,12.91125,80.18375,12.91125,80.18375,24,10,15,4,9,11,1.0,4,0.823,5.42,1865.3,25411.5,0.258,1.46,96,0.04,0.0364,0.2163,0
CHN-00085,12.91125,80.18825,12.91125,80.18825,20,8,8,4,7,9,1.12,3,0.839,6.97,1763.1,15948.8,0.136,2.27,80,0.0373,0.1223,0.1935,1
CHN-00086,12.91125,80.19275,12.91125,80.19275,42,13,22,4,15,23,1.13,4,0.761,5.24,925.0,12815.2,0.279,2.04,168,0.0791,-0.2927,0.2301,1
CHN-00087,12.91125,80.19725,12.91125,80.19725,38,13,23,6,15,17,1.0,3,0.691,5.71,1181.3,22084.2,0.294,2.84,152,0.0633,0.14,0.2498,1
CHN-00088,12.91125,80.20175,12.91125,80.20175,51,22,21,12,18,21,1.0,6,0.601,5.16,649.2,32964.2,0.313,2.13,204,0.085,0.0265,0.286,0
CHN-00089,12.91125,80.20625,12.91125,80.20625,39,12,22,4,15,20,1.41,2,0.726,5.11,1927.7,21425.1,0.392,2.6,156,0.0916,-0.3138,0.2599,2
CHN-00090,12.91125,80.21075,12.91125,80.21075,39,16,17,5,16,18,1.0,6,0.888,5.53,511.9,30959.5,0.204,3.0,156,0.065,-0.0914,0.2296,0
CHN-00091,12.91125,80.21525,12.91125,80.21525,41,15,18,8,19,14,1.0,2,0.526,6.01,1233.8,23196.9,0.203,2.2,164,0.0683,0.0134,0.2598,2
CHN-00092,12.91125,80.21975,12.91125,80.21975,25,9,12,5,10,10,1.39,1,0.618,6.66,1177.9,12549.9,0.098,1.29,100,0.0579,0.1813,0.2112,0
CHN-00093,12.91125,80.22425,12.91125,80.22425,15,4,7,1,6,8,1.0,1,1.0,7.36,1089.3,12093.1,0.067,1.92,60,0.025,0.2199,0.1226,2
CHN-00094,12.91125,80.22875,12.91125,80.22875,43,13,23,10,14,19,1.32,3,0.733,4.94,928.2,30505.5,0.236,2.74,172,0.0946,0.1336,0.247,1
CHN-00095,12.91125,80.23325,12.91125,80.23325,48,21,30,8,22,18,1.52,6,0.461,5.51,299.0,36880.8,0.459,3.29,192,0.1216,-0.3034,0.3487,1
CHN-00096,12.91125,80.23775,12.91125,80.23775,22,9,11,3,8,11,1.0,3,0.85,7.59,1019.1,32573.2,0.262,1.2,88,0.0367,0.1896,0.1846,2
CHN-00097,12.91125,80.24225,12.91125,80.24225,14,6,8,3,5,6,1.0,1,0.779,7.66,724.9,28888.1,0.133,2.1,56,0.0233,-0.3023,0.1937,1
CHN-00098,12.91125,80.24675,12.91125,80.24675,47,19,20,8,17,22,1.05,4,0.476,4.24,313.6,41171.6,0.367,3.69,188,0.0822,-0.0702,0.3352,4
CHN-00099,12.91125,80.25125,12.91125,80.25125,57,22,25,10,24,23,1.43,3,0.669,4.37,163.4,46959.3,0.311,3.61,228,0.1358,0.2789,0.3133,2
CHN-00100,12.91125,80.25575,12.91125,80.25575,45,14,25,4,18,23,2.18,7,0.624,4.24,1266.6,26469.9,0.4,2.37,180,0.1635,0.2163,0.3073,1
CHN-00101,12.91125,80.26025,12.91125,80.26025,60,25,35,12,18,30,1.86,7,0.323,3.64,1532.6,11001.7,0.496,2.86,240,0.186,-0.2957,0.404,1
CHN-00102,12.91125,80.26475,12.91125,80.26475,55,21,28,12,17,26,1.68,3,0.508,5.1,978.2,20213.5,0.391,3.03,220,0.154,0.1555,0.3354,4
CHN-00103,12.91125,80.26925,12.91125,80.26925,87,35,44,12,40,35,2.01,16,0.367,3.33,1335.7,50606.4,0.659,4.32,348,0.2914,-0.2365,0.4717,4
CHN-00104,12.91125,80.27375,12.91125,80.27375,72,28,29,8,31,33,1.59,4,0.299,4.87,1488.1,21011.7,0.444,3.23,288,0.1908,0.1659,0.3916,1
CHN-00105,12.91125,80.27825,12.91125,80.27825,62,24,36,8,18,36,1.78,12,0.37,4.15,1268.1,23261.4,0.46,2.98,248,0.1839,0.0787,0.3834,1
CHN-00106,12.91125,80.28275,12.91125,80.28275,76,33,45,10,37,29,2.43,10,0.517,3.96,1330.1,11651.2,0.534,4.77,304,0.3078,-0.1488,0.449,2
CHN-00107,12.91125,80.28725,12.91125,80.28725,59,26,27,6,20,33,2.23,8,0.453,4.94,1729.7,41440.5,0.587,2.81,236,0.2193,0.1454,0.3964,2
CHN-00108,12.91125,80.29175,12.91125,80.29175,69,27,30,12,34,23,2.39,3,0.378,3.36,1465.7,41305.5,0.402,3.45,276,0.2748,0.2021,0.4236,0
CHN-00109,12.91125,80.29625,12.91125,80.29625,43,14,23,8,20,15,1.36,7,0.558,5.47,68.2,12984.8,0.374,3.52,172,0.0975,-0.2792,0.2985,2
CHN-00110,12.91125,80.30075,12.91125,80.30075,23,9,12,2,8,13,1.05,3,0.612,7.0,118.9,26625.2,0.101,2.87,92,0.0402,-0.1411,0.2316,1
CHN-00111,12.91125,80.30525,12.91125,80.30525,22,9,10,3,9,10,1.04,3,0.792,6.51,1406.5,3418.4,0.2,1.53,88,0.0381,0.1094,0.2031,2
CHN-00112,12.91125,80.30975,12.91125,80.30975,15,4,8,2,6,7,1.0,2,1.0,6.88,1658.8,15974.3,0.0,0.53,60,0.025,-0.1829,0.1009,1
CHN-00113,12.91125,80.31425,12.91125,80.31425,50,18,21,7,19,24,1.0,4,0.715,5.87,1996.8,38753.4,0.367,2.47,200,0.0833,0.0466,0.2572,1
CHN-00114,12.91125,80.31875,12.91125,80.31875,42,15,22,7,14,21,1.16,4,0.486,4.45,1671.8,14262.4,0.33,2.22,168,0.0812,0.2294,0.2972,2
CHN-00115,12.91575,80.15225,12.91575,80.15225,17,6,8,2,5,10,1.0,2,0.834,7.33,1542.8,7785.7,0.174,0.97,68,0.0283,0.079,0.1634,2
CHN-00116,12.91575,80.15675,12.91575,80.15675,27,9,12,3,12,12,1.0,2,0.824,5.66,1564.6,6193.8,0.276,1.47,108,0.045,-0.3064,0.2008,0
CHN-00117,12.91575,80.16125,12.91575,80.16125,50,17,31,5,21,24,1.93,6,0.807,4.17,866.6,14489.3,0.436,3.8,200,0.1608,-0.1726,0.3094,1
CHN-00118,12.91575,80.16575,12.91575,80.16575,40,17,22,6,12,22,1.0,3,0.621,6.47,1144.4,22241.4,0.163,3.12,160,0.0667,0.0895,0.2614,2
CHN-00119,12.91575,80.17025,12.91575,80.17025,14,5,7,1,6,7,1.0,2,0.911,7.23,1319.4,16949.2,0.0,1.39,56,0.0233,0.0986,0.1405,1
CHN-00120,12.91575,80.17475,12.91575,80.17475,35,11,15,5,15,15,1.0,2,0.94,7.07,1747.6,11191.1,0.196,3.02,140,0.0583,0.1054,0.1843,2
CHN-00121,12.91575,80.17925,12.91575,80.17925,12,4,6,1,5,6,1.0,1,1.0,8.45,447.3,15973.9,0.0,1.88,48,0.02,-0.0415,0.116,2
CHN-00122,12.91575,80.18375,12.91575,80.18375,36,13,15,7,16,13,1.0,6,0.89,5.38,1967.9,8749.5,0.183,1.73,144,0.06,0.1908,0.1989,1
CHN-00123,12.91575,80.18825,12.91575,80.18825,37,11,22,8,14,15,1.58,4,0.915,6.1,1287.6,9712.6,0.394,2.25,148,0.0974,-0.2469,0.2168,2
CHN-00124,12.91575,80.19275,12.91575,80.19275,12,5,5,2,4,6,1.0,2,0.962,7.99,663.0,14527.0,0.151,1.19,48,0.02,-0.1744,0.1482,1
CHN-00125,12.91575,80.19725,12.91575,80.19725,29,11,17,3,10,16,1.0,2,0.757,6.71,1319.7,23816.1,0.179,2.8,116,0.0483,-0.0726,0.22,1
CHN-00126,12.91575,80.20175,12.91575,80.20175,42,14,24,4,14,24,1.93,3,0.742,4.42,1303.6,32348.1,0.396,2.57,168,0.1351,-0.1939,0.2848,2
CHN-00127,12.91575,80.20625,12.91575,80.20625,10,4,5,1,3,6,1.0,1,0.957,7.27,1954.8,5606.3,0.038,0.39,40,0.0167,0.0563,0.129,2
CHN-00128,12.91575,80.21075,12.91575,80.21075,58,25,34,12,17,29,1.95,9,0.551,5.69,599.0,38577.1,0.255,3.26,232,0.1885,-0.0013,0.3347,1
CHN-00129,12.91575,80.21525,12.91575,80.21525,13,4,6,2,4,7,1.0,2,0.983,7.52,1790.0,7787.6,0.0,0.9,52,0.0217,0.0935,0.1093,2
CHN-00130,12.91575,80.21975,12.91575,80.21975,13,5,7,1,4,8,1.0,1,1.0,8.26,1165.0,15900.0,0.041,0.94,52,0.0217,-0.1268,0.1194,1
CHN-00131,12.91575,80.22425,12.91575,80.22425,53,20,29,10,23,20,1.02,6,0.521,5.2,1001.0,28196.5,0.456,2.81,212,0.0901,0.1103,0.3126,1
CHN-00132,12.91575,80.22875,12.91575,80.22875,22,7,11,2,7,13,1.0,4,0.705,6.15,432.4,23622.9,0.161,1.55,88,0.0367,-0.0446,0.1975,1
CHN-00133,12.91575,80.23325,12.91575,80.23325,8,2,3,1,3,4,1.0,0,1.0,7.38,219.8,18085.5,0.0,0.95,32,0.0133,-0.0852,0.0944,2
CHN-00134,12.91575,80.23775,12.91575,80.23775,39,14,19,6,18,15,1.64,5,0.568,5.8,1912.4,35911.6,0.206,3.05,156,0.1066,-0.2981,0.2801,2
CHN-00135,12.91575,80.24225,12.91575,80.24225,23,7,11,3,8,12,1.0,2,0.96,6.02,206.4,13420.8,0.273,2.04,92,0.0383,0.0352,0.1765,2
CHN-00136,12.91575,80.24675,12.91575,80.24675,35,15,20,4,16,15,1.0,4,0.68,5.61,873.0,12367.4,0.172,2.04,140,0.0583,-0.3384,0.2444,1
CHN-00137,12.91575,80.25125,12.91575,80.25125,48,19,29,9,18,21,1.72,4,0.536,5.48,920.5,36298.3,0.484,3.65,192,0.1376,0.2274,0.3427,2
CHN-00138,12.91575,80.25575,12.91575,80.25575,64,24,36,13,23,28,1.58,7,0.378,4.95,724.5,11703.3,0.337,3.69,256,0.1685,0.078,0.3642,1
CHN-00139,12.91575,80.26025,12.91575,80.26025,57,22,31,8,19,30,2.3,6,0.623,3.66,996.9,5940.8,0.454,4.19,228,0.2185,-0.079,0.3789,1
CHN-00140,12.91575,80.26475,12.91575,80.26475,46,13,27,7,16,23,1.85,3,0.821,4.73,1782.4,27688.5,0.46,3.78,184,0.1418,-0.1546,0.2857,1
CHN-00141,12.91575,80.26925,12.91575,80.26925,78,29,34,14,31,33,2.82,13,0.338,2.5,555.7,15661.4,0.506,3.88,312,0.3666,-0.1102,0.483,2
CHN-00142,12.91575,80.27375,12.91575,80.27375,78,25,39,15,31,32,2.46,15,0.512,3.13,1160.3,37537.4,0.55,3.99,312,0.3198,-0.2483,0.4299,2
CHN-00143,12.91575,80.27825,12.91575,80.27825,77,29,47,9,35,33,1.6,13,0.418,4.81,1890.9,11610.0,0.481,4.43,308,0.2053,-0.0114,0.3978,2
CHN-00144,12.91575,80.28275,12.91575,80.28275,75,24,44,11,30,34,2.43,10,0.537,4.09,844.8,46845.0,0.688,4.19,300,0.3038,0.2954,0.4275,2
CHN-00145,12.91575,80.28725,12.91575,80.28725,63,26,39,6,30,27,1.59,7,0.64,5.57,87.3,24080.5,0.466,3.5,252,0.167,0.0975,0.3359,1
CHN-00146,12.91575,80.29175,12.91575,80.29175,49,16,22,11,14,24,2.06,7,0.741,4.47,77.9,34014.3,0.491,3.43,196,0.1682,-0.2362,0.3164,1
CHN-00147,12.91575,80.29625,12.91575,80.29625,78,33,43,8,31,39,1.88,8,0.387,2.52,730.2,10754.8,0.668,4.78,312,0.2444,-0.2414,0.472,0
CHN-00148,12.91575,80.30075,12.91575,80.30075,47,17,28,9,14,24,1.11,5,0.534,4.39,598.0,36394.5,0.513,2.73,188,0.087,0.2205,0.3191,2
CHN-00149,12.91575,80.30525,12.91575,80.30525,20,8,11,3,8,9,1.0,3,0.839,6.6,1192.4,21939.6,0.034,2.18,80,0.0333,-0.2223,0.1843,2
CHN-00150,12.91575,80.30975,12.91575,80.30975,47,17,20,10,16,21,1.2,4,0.554,5.86,155.9,30946.7,0.245,1.5,188,0.094,-0.0333,0.2595,1
CHN-00151,12.91575,80.31425,12.91575,80.31425,15,6,6,2,6,7,1.0,0,0.878,7.01,1693.3,10818.6,0.153,2.12,60,0.025,-0.1264,0.1825,2
CHN-00152,12.91575,80.31875,12.91575,80.31875,68,27,35,10,29,29,1.68,3,0.498,5.48,1349.5,42097.1,0.447,3.74,272,0.1904,0.0952,0.3647,2
CHN-00153,12.92025,80.15225,12.92025,80.15225,28,8,13,6,11,11,1.0,3,0.729,6.5,771.1,4813.1,0.235,1.6,112,0.0467,0.1242,0.1955,2
